id,industry,creation_date
5,HR,
1,Software,
3,Communication,
8,Tech,
9,Entertainment,
11,Consulting,
12,Technology,
2,Investing,
4,Web Development,
6,IT,
7,consulting,
10,Consulting,
13,Consulting,
15,Press,
14,Biotech,
16,Tech,
17,Consulting,
19,Building,
20,Development,
21,IT,
22,Development,
23,IT,
25,Textile,
27,Consulting,2022-04-06 09:29:49+00:00
26,Software as a Service,2022-04-05 11:43:16+00:00
28,Venture Capital,2022-04-18 09:35:31+00:00
24,IT,
29,Tech & Gaming,2022-05-10 16:17:11+00:00
30,Tech & IT,2022-05-11 12:42:13+00:00
31,Tech & IT,2022-05-11 12:52:30+00:00
32,Tech & IT,2022-05-11 12:58:17+00:00
18,Tech,
33,Tech & IT,2022-05-11 13:07:19+00:00
34,Tech,2022-06-16 11:38:58.429487+00:00
